,BPCY,WYIELD,Modification,Constraints,Biomass_pFBA,Product_pFBA,Glucose_pFBA,FVA_min,FVA_max
0,2.484126319494944,7.07532135828837,"{'b0722': 0.0625, 'b1849': 2, 'b4388': 0.5}","{'ACKr': (0.42681328331151835, 10000), 'PSP_L': (0, 0.3150702995360441), 'SUCDi': (0, 0.25022197721226397)}",0.3376679279404349,7.356713842047888,-10.0,3.0381033370249195,7.73339474425033
2,2.353867563971211,7.350948427721948,"{'b4388': 0.5, 'b1849': 4, 'b1131': 2, 'b0722': 0.03125, 'b1278': 8}","{'ACKr': (0.8536265666230367, 10000), 'ADSL2r': (0.3282875702733987, 10000), 'PSP_L': (0, 0.3150702995360441), 'UDCPDP': (0.08148796100669177, 10000), 'ADSL1r': (0.21942630524997447, 10000), 'SUCDi': (0, 0.12511098860613198)}",0.3099371940952636,7.594659849852289,-10.0,3.797935702971585,7.965334256883681
3,2.392031786453096,7.301311813826471,"{'b1849': 2, 'b1131': 2, 'b4388': 0.5, 'b0722': 0.03125}","{'ACKr': (0.42681328331151835, 10000), 'ADSL2r': (0.3282875702733987, 10000), 'PSP_L': (0, 0.3150702995360441), 'ADSL1r': (0.21942630524997447, 10000), 'SUCDi': (0, 0.12511098860613198)}",0.316762951436383,7.55148850459406,-10.0,3.664635338430089,7.908243707463191
4,1.6289571029941738,8.511843163684603,"{'b1278': 16, 'b4388': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b0474': 2, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.16297592201338354, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.18811122820176374,8.659542115406836,-10.0,6.349746520750158,8.984285118883662
5,1.4647725838621837,8.656977577093743,"{'b4388': 0, 'b2508': 32, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b1278': 8, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.08148796100669177, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.1665198315331513,8.796385213557185,-10.0,6.703097602489224,9.110679375984693
6,2.190546110938438,7.636570132019972,"{'b1849': 4, 'b4388': 0.5, 'b1131': 4, 'b2508': 4, 'b0722': 0}","{'ACKr': (0.8536265666230367, 10000), 'IMPD': (0.35663152763307215, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0.3150702995360441), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.27893281360136135,7.853310919771636,-10.0,4.432768099673782,8.224654509330154
8,2.156822096322884,7.727976389602148,"{'b1278': 16, 'b1380': 8, 'b1849': 16, 'b4388': 0.0625, 'b0722': 0.03125, 'b0221': 0.03125}","{'ACKr': (3.414506266492147, 10000), 'PSP_L': (0, 0.03938378744200551), 'UDCPDP': (0.16297592201338354, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0.12511098860613198), 'ACOAD7f': (-0.001461982449618829, 0), 'ACOAD5f': (-0.004076615743961741, 0), 'ACOAD3f': (-0.004076615743961741, 0), 'ACOAD2f': (-0.004076615743961741, 0), 'ACOAD4f': (-0.004076615743961741, 0), 'ACOAD6f': (-0.0031851395619394898, 0)}",0.27022361806148015,7.981619489050967,-10.0,4.311107418788179,8.297498112396124
10,1.4992648261400798,8.630491722189062,"{'b1278': 16, 'b4388': 0, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b3941': 2, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'PSP_L': (0, 0), 'UDCPDP': (0.16297592201338354, 10000), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.17099198877914745,8.768041338339188,-10.0,6.655336687083625,9.038061004215223
11,1.316257043210524,8.797909682995245,"{'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b3941': 2, 'b0474': 2, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (2.8530522210645772, 10000), 'ADSL2r': (0.6565751405467974, 10000), 'ADK1': (1.923343000910192, 10000), 'NDPK2': (0.31178426407809934, 10000), 'NDPK3': (0.13269725606461658, 10000), 'NDPK4': (0.019182866594403127, 10000), 'NDPK1': (0.5791765332764045, 10000), 'PSP_L': (0, 0), 'MTHFR2': (0.11316395722103005, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'ADNK1': (0.0004933910119251436, 10000), 'LDH_D': (10.207989376191374, 10000), 'ADSL1r': (0.43885261049994895, 10000), 'SUCDi': (0, 0)}",0.147626527338677,8.916128198226028,-10.0,7.125521605234689,9.1909757412267
12,2.016702084826656,8.052411606321447,"{'b2508': 4, 'b1849': 32, 'b3640': 16, 'b4388': 0.125, 'b0722': 0, 'b1278': 8, 'b1380': 8}","{'ACKr': (6.829012532984294, 10000), 'IMPD': (0.35663152763307215, 10000), 'PSP_L': (0, 0.07876757488401102), 'UDCPDP': (0.08148796100669177, 10000), 'DUTPDP': (0.15346293275522502, 10000), 'LDH_D': (10.207989376191374, 10000), 'SUCDi': (0, 0)}",0.24397200298437638,8.266120948926496,-10.0,5.017598526470246,8.517066294068536
