ID,vPTS,vPGI,vPGM,vG6PDH,vPFK,vTA,vTKA,vTKB,vMURSyNTH,vALDO,vGAPDH,vTIS,vTRPSYNTH,vG3PDH,vPGK,vsersynth,vrpGluMu,vENO,vPK,vpepCxylase,vSynth1,vSynth2,vDAHPS,vPDH,vMethSynth,vPGDH,vR5PI,vRu5P,vPPK,vG1PAT,vG6P,vf6P,vfdP,vGAP,vDHAP,vPGP,vPG3,vpg2,vPEP,vRibu5p,vRIB5P,vXYL5P,vSED7P,vpyr,vPG,vE4P,vGLP,vEXTER
0,0.131420431371242,0.109117035487767,0.000158432891106,0.022081883982929,0.120066123588528,0.005481138647212,0.005518347392584,0.005481129895553,1.55E-06,0.120061359446132,0.254323601724158,0.120026122508329,0.008718101685441,3.50E-05,0.254323601466284,0.000156354685464,0.254167214328589,0.25416720823314,0.122108785268723,0.000510865478271,0.000127085360153,0.261249322574372,0,0.003949729463,0.003161062900214,0.022081242035954,0.011014916794396,0.01103811927309,0.005496311964412,0.000146087028034,6.31E-05,1.01E-05,4.76E-06,3.21E-07,2.31E-07,0,3.25E-08,6.10E-09,4.08E-08,2.82E-05,2.57E-07,3.86E-05,3.72E-05,0.000209329188248,6.42E-07,8.75E-09,1.23E-05,0.131420431371242
1,0.058701135573462,0.030431684016745,0.014965605524621,0.013132640500318,0.028059375109678,0.001306111760054,0.001313036005151,0.001302382509799,0.002485200634422,0.028057362708561,0.104762574695483,0.028045738512971,0.047351410520548,1.07E-05,0.104762513722963,0.005841708015777,0.098904953852097,0.098901973768318,0.002397320009826,0.017787282234716,0.019993315460867,0.057502184572187,2.87E-06,0.053435154646862,0.002497689408059,0.013117929577831,0.010499729521081,0.002617091076482,0.009182037743245,0.014963968327766,0.000171205531777,1.04E-05,2.01E-06,1.24E-06,8.95E-07,6.10E-08,1.59E-05,2.98E-06,2.01E-05,1.17E-06,4.64E-06,1.63E-06,6.92E-06,1.02E-05,1.47E-05,8.64E-07,1.64E-06,0.058701135573462
5,0.200294082507453,0.195091297232201,7.43E-06,0.005159127792226,0.185874306702245,0.00158493159595,0.001634587111048,0.001584928197596,0.006190300725557,0.185853600069487,0.2588058630184,0.07131424078603,3.44E-06,0.016700369714507,0.258805861582608,8.45E-06,0.258797035807189,0.258796967944339,0.000931224051414,0.057571648008362,6.52E-09,0.260745777223621,0,0.000903972281869,0.060434851473624,0.005159127730637,0.001907126306608,0.003238361029279,0.00027253321337,3.28E-07,3.62E-05,6.25E-06,2.07E-05,0,0.09783898956895,1.44E-09,3.74E-07,6.79E-08,6.86E-09,1.36E-05,5.95E-09,1.88E-05,4.97E-05,1.38E-05,0,3.40E-09,7.10E-06,0.200294082507452
7,0.048032038815277,0.042779452489287,1.29E-05,0.005229370909051,0.045813367422261,0.001523000769805,0.001608894315453,0.001522994217533,5.17E-06,0.04581334324206,0.138804161873721,0.045813331921201,0.045568600601955,8.95E-09,0.138804147755368,0.090735316086753,0.048065031186473,0.048065030583779,9.21E-06,6.74E-06,1.70E-05,0.056374032858781,0,0.045514362998588,0.018353129257131,0.00521776097391,0.002079521484308,0.003135393106747,0.000458463131612,1.09E-05,1.03E-05,1.75E-06,2.42E-08,1.65E-09,2.37E-09,1.41E-08,3.80E-06,0,1.67E-09,3.00E-06,1.20E-05,3.50E-06,8.59E-05,0.010074587259247,1.16E-05,6.55E-09,2.02E-06,0.048032038815277
13,0.001979367920023,-0.003275347608612,2.31E-06,0.005252397075971,4.06E-08,0.001639708326318,0.001657017340143,0.001639630774757,1.97E-06,4.06E-08,0.002002278905771,-1.69E-06,0.000346991207007,1.73E-06,0.002002278884899,2.87E-06,0.001999406042232,0.001999405852888,1.63E-06,1.69E-05,1.49E-06,1.4139590592795,0,0.30945357423367,4.4760967607842,0.005249040848699,0.00195236331052,0.003296651622728,0.000295212262752,2.31E-06,1.14E-08,4.38E-09,0,0,0,0,1.04E-09,0,0,3.21E-08,1.28E-07,3.45E-09,1.73E-05,2.75501211193005,3.36E-06,7.76E-08,0,0.001979367920023
17,0.200338188510349,0.178912973435904,0.020084429513073,0.001191221298947,0.171994450312267,0.006019807828383,0.006047973556884,-0.011240343186871,0.000836101714324,0.171988555312946,0.331343999544502,0.170530918727654,3.70E-05,0.001456521139119,0.331343986082447,0.017128045779113,0.314212376292294,0.314211706320423,0.003083470018945,5.93E-05,0.093466496582486,0.000452219766874,0.017259802924704,0.207968785509369,0.005166814945054,0.001191055352477,0.006380229295243,-0.005190118314641,0.000328648680807,0.020063675305712,0.000149564262192,2.58E-05,5.89E-06,3.04E-07,1.12E-06,1.35E-08,3.56E-06,6.70E-07,4.49E-06,9.46E-07,3.61E-06,2.25E-06,2.82E-05,0.000204475126339,1.66E-07,3.48E-07,2.08E-05,0.200338188510349
23,0.000166387017577,9.11E-05,1.87E-05,5.45E-05,7.07E-05,4.64E-06,2.27E-05,4.64E-06,1.47E-05,7.06E-05,0.002842853039007,3.46E-05,0.002714838524854,3.60E-05,0.002842853029928,0.002673157835141,0.000169692761218,0.000169692306491,3.24E-06,0,6.81E-08,0.00157496269872,0,0.00236561960603,0.001097508598395,5.41E-05,2.68E-05,2.74E-05,3.89E-06,1.83E-05,2.06E-06,3.53E-07,6.92E-08,0,0,0,2.43E-09,0,0,8.89E-09,3.56E-08,4.43E-09,1.81E-05,4.14E-05,4.09E-07,0,4.03E-07,0.000166387017577
25,0.052236675208622,-0.096999237485931,2.94E-05,0.149203549938559,3.31E-06,0.0485184444208,0.049700049878405,0.048517705038357,1.65E-05,3.31E-06,0.147293662434739,-7.90E-06,0.097598946650143,1.12E-05,0.147293661923607,0.094926393862743,0.052367135505414,0.05236711067957,3.46E-05,3.05E-05,6.46E-05,0.077512061181018,5.84E-07,0.056741552712842,0.00020541758779,0.149201682604842,0.050978434219904,0.09822004369988,0.001278252020551,2.94E-05,3.00E-06,5.73E-07,0,0,0,0,1.33E-07,2.48E-08,1.67E-07,3.21E-06,1.32E-07,2.29E-06,0.001181605457605,0.015822017214861,1.87E-06,1.56E-07,1.54E-09,0.052236675208622
26,0.200460467870828,-0.180445368120851,0.003129399630736,0.377739059291152,0.065839477651292,0.124651764143082,0.124651798173615,0.124651146232447,0.001505808348186,0.06574811018457,0.257702681136446,0.063284255151788,0.004034051675248,0.002439679904471,0.257702674569772,0.028470194006957,0.229230749349346,0.229230443942671,2.65E-05,0.00370301440414,0.02503804656613,0.808337980533142,5.63E-07,0,0.603816985068349,0.377733825833392,0.128124616645404,0.249482193901406,0.003472813555195,0.00312207980495,3.74E-05,6.45E-06,9.14E-05,1.49E-05,2.42E-05,6.57E-09,1.73E-06,3.05E-07,1.84E-06,0.000127918799748,3.01E-09,0.000178347893299,3.40E-08,4.03E-08,5.23E-06,5.46E-08,7.32E-06,0.200460467870828
32,0.200494507641175,0.197044283161087,1.73E-05,0.003354064851845,0.187577623524703,0.000624851242327,0.000639138408177,0.000623104882103,0.005350544418271,0.187577573393692,0.376562508099394,0.187214934252341,0.001132792040039,0.000361873856274,0.376562492670016,0.000106052657905,0.376452317223433,0.376451542135748,0.174552966790462,0.001351865575798,4.54E-05,0.001352209524884,1.58E-06,0.423392756499926,0.048739144867959,0.003353952805033,0.002088993060062,0.001264271352204,0.00144667107948,1.94E-06,7.88E-05,1.35E-05,5.01E-08,1.84E-07,7.65E-07,1.54E-08,4.12E-06,7.75E-07,5.21E-06,1.13E-06,3.18E-06,1.58E-06,1.43E-05,0.000174445314825,1.12E-07,1.63E-07,1.54E-05,0.200494507641175
33,0.200060880258965,0.138852811985922,0.000104343314973,0.060711173520893,0.15962586051328,0.024223788655367,0.024249294003639,-0.003379019668845,2.64E-05,0.159625246972247,0.228212147752046,0.071901320136272,4.00E-05,0.087721491063736,0.228212147138557,1.71E-05,0.228194910474575,0.228194891958589,0.00028515291595,1.09E-05,0.000236332109935,0.011814360963712,0.027601528448519,0.192573901484052,0.00400793264207,0.060534642074598,0.039659141175826,0.02087165994176,0.01539515131327,2.74E-05,0.000392551437178,1.89E-05,6.14E-07,9.37E-07,2.44E-06,0,1.65E-07,1.85E-08,8.53E-08,3.85E-06,1.47E-05,1.39E-06,2.55E-05,5.73E-06,0.000176531446295,1.28E-06,7.69E-05,0.200060880258965
37,0.004262221469211,0.000598487499305,3.36E-07,0.003663361714286,9.44E-07,7.31E-05,7.31E-05,7.31E-05,0.000371855529049,9.44E-07,0.004679357035081,-2.44E-05,0.004629776491169,2.54E-05,0.004679357030342,0.00040352850619,0.004275827248466,0.004275827168801,1.01E-05,1.56E-07,3.32E-06,0.01831661400235,0,8.91E-07,0.009417980738484,0.003662016389577,0.003515722359919,0.000146247870339,0.003442423261981,3.29E-07,3.67E-08,6.32E-09,0,3.00E-08,9.20E-09,0,1.28E-09,0,0,4.82E-08,1.88E-07,6.45E-08,9.72E-09,2.61E-06,1.35E-06,2.57E-08,6.99E-09,0.004262221469211
38,0.000887548665788,1.21E-05,3.22E-06,0.000872076736232,3.62E-09,8.29E-05,9.72E-05,8.29E-05,8.90E-05,2.43E-09,0.019288673783878,-1.10E-05,0.019202513426219,1.09E-05,0.019288669721078,0.000474742462666,0.018813738152123,0.018813736495584,0.017910935788749,1.41E-05,1.16E-06,0.0004734757126,0,0.034399463536984,0.001985811383122,0.000872069437759,0.000692401356809,0.000180734267973,0.000592021817637,3.19E-06,1.52E-07,2.55E-08,1.19E-09,8.22E-08,5.80E-08,4.06E-09,1.89E-07,1.66E-09,1.11E-08,4.19E-07,1.68E-06,5.85E-07,1.43E-05,0.005113870014294,7.30E-09,0,2.99E-08,0.000887548665788
41,0.004262217849214,0.002211564846819,0.001884713057495,0.000160595479133,0.00225163663275,2.68E-05,3.13E-05,2.68E-05,6.29E-06,0.002210226239815,0.005243047494867,0.002209381401916,0.000792200812157,8.06E-07,0.005243046459899,0.000372699109147,0.004870068448418,0.004870016113187,1.17E-06,0.000180054088954,0.000426268388426,0.005159203043492,0,2.23E-05,0.000126805203634,0.000160594407103,0.000102063205593,5.83E-05,7.01E-05,0.001883670081356,5.34E-06,9.22E-07,4.14E-05,4.26E-08,3.88E-08,1.03E-09,2.79E-07,5.23E-08,3.03E-07,1.86E-07,6.54E-07,2.60E-07,4.52E-06,8.66E-07,1.07E-09,4.25E-08,1.04E-06,0.004262217849214
50,0.062899812007644,0.061570231894186,0.000456978694996,0.000823102892395,0.061478693632375,-3.49E-05,-2.03E-05,-3.50E-05,6.53E-06,0.061478691761652,0.122790097457236,0.061290764278017,4.10E-05,0.00018786941363,0.122790070459768,0.052741398153335,0.070041395955186,0.070041191490732,0.007091658561884,4.08E-05,8.64E-06,0.013368905813866,0,0.066580733510644,0.009954857454074,0.000822991216821,0.000878251229375,-5.53E-05,0.00089847350174,0.000447297982853,4.95E-05,8.54E-06,1.87E-09,2.09E-08,5.81E-08,2.70E-08,7.28E-06,2.04E-07,3.21E-07,2.18E-08,8.71E-08,3.06E-08,1.46E-05,3.77E-05,1.12E-07,3.77E-08,9.68E-06,0.062899812007644
51,0.011408792993555,0.000287521445233,9.99E-05,0.010996389496918,0.000839259355679,0.000281646625691,0.005068073127528,0.000277662025762,1.63E-06,0.000839259023485,0.045017945191986,0.000838297939197,0.038276303113513,9.44E-07,0.045017945114033,1.84E-06,0.04501608365073,0.04501608043406,1.73E-07,0.001390871398585,0.032216236339118,0.273239068604606,4.77E-09,0.01161763868633,0.23517917704332,0.010996354283273,0.005645965979492,0.005347109021559,0.000565555245004,9.50E-05,2.50E-05,4.31E-06,0,3.41E-09,1.70E-08,0,1.80E-08,3.22E-09,2.20E-09,3.28E-06,1.23E-05,1.37E-06,0.004786426501838,7.74E-06,3.52E-08,3.98E-06,4.89E-06,0.011408792993555
54,0.20050466031167,0.193922384854837,0.00015357081608,0.006356131812822,0.181193661966937,-0.005699319804002,-0.005689303324216,-0.006607169303141,0.000204876605289,0.181192782298372,0.347920823145788,0.17248881644987,0.000838238176525,0.008702074641996,0.347920739673239,0.000380868135501,0.34752000763521,0.347517660423957,0.048212812223988,0.091098902274218,0.006779220456505,0.051884730181659,0.00090627707598,0.225001616437584,0.02740224246653,0.006356046625644,0.018650114288627,-0.012294991696366,0.02433528973521,0.000139721650789,7.26E-05,1.25E-05,8.80E-07,1.86E-06,1.89E-06,8.35E-08,1.99E-05,2.35E-06,1.58E-05,1.01E-06,4.04E-06,1.48E-06,1.00E-05,7.16E-05,8.52E-08,1.57E-06,1.38E-05,0.20050466031167
55,0.163808413901693,0.159603526079155,0.002874187843558,0.001306716004657,0.159277267627787,-2.48E-06,-1.69E-06,-2.53E-06,0.000160477769694,0.159054468481559,0.319987542210839,0.1590488883396,0.001885944714373,4.24E-06,0.319987540328534,0.025489377354683,0.294497668144111,0.294497575626397,0.040185371787445,0.090250724415618,0.00025305845239,2.14577161667695,0,0.00553445855186,1.94544358520502,0.001304990000196,0.001309205922935,-4.22E-06,0.001310894516585,0.002871774950301,2.40E-05,2.91E-07,0.000222799146228,1.60E-08,1.34E-06,1.88E-09,4.95E-07,9.25E-08,7.07E-09,0,3.67E-09,9.26E-09,7.88E-07,1.72E-05,1.73E-06,4.96E-08,2.41E-06,0.163808413901693
59,0.200503541033098,0.19873877941859,0.00075974223692,0.000893553384725,0.198655698650388,3.39E-05,4.26E-05,3.39E-05,6.59E-05,0.19864682863412,0.223980342919038,0.004391063470438,0.020899931214284,0.194255334148047,0.223980146571948,0.00032587150999,0.223601844375877,0.223594005702615,0.000237166828796,0.000154314889221,0.02267297457069,0.225386634116378,0,1.01E-08,0.003746243265284,0.000886541717864,0.000802877883224,8.07E-05,0.000760194718953,0.000754856351373,0.000111466019603,1.92E-05,8.87E-06,4.17E-08,4.31E-07,1.96E-07,5.24E-05,7.84E-06,2.60E-05,2.99E-06,1.02E-07,4.18E-06,8.65E-06,2.38E-07,7.01E-06,1.97E-08,4.89E-06,0.200503541033098
