,Modification,Size,BPCY,WYIELD
0,"{'b0722': 0.0625, 'b1849': 2, 'b4388': 0.5}",3,2.484126319494944,7.07532135828837
1,"{'b3941': 2, 'b3640': 32, 'b1849': 4, 'b1131': 4, 'b0722': 0, 'b1380': 16, 'b4388': 0}",7,0.3811451573410598,9.682314344019023
2,"{'b4388': 0.5, 'b1849': 4, 'b1131': 2, 'b0722': 0.03125, 'b1278': 8}",5,2.353867563971211,7.350948427721948
3,"{'b1849': 2, 'b1131': 2, 'b4388': 0.5, 'b0722': 0.03125}",4,2.392031786453096,7.301311813826471
4,"{'b1278': 16, 'b4388': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b0474': 2, 'b1380': 8}",8,1.6289571029941738,8.511843163684603
5,"{'b4388': 0, 'b2508': 32, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b0722': 0, 'b1278': 8, 'b1380': 8}",8,1.4647725838621837,8.656977577093743
6,"{'b1849': 4, 'b4388': 0.5, 'b1131': 4, 'b2508': 4, 'b0722': 0}",5,2.190546110938438,7.636570132019972
7,"{'b3941': 2, 'b2508': 32, 'b3640': 32, 'b1849': 16, 'b0722': 0, 'b1380': 16, 'b4388': 0}",7,0.4258470551179674,9.644508652958903
8,"{'b1278': 16, 'b1380': 8, 'b1849': 16, 'b4388': 0.0625, 'b0722': 0.03125, 'b0221': 0.03125}",6,2.156822096322884,7.727976389602148
9,"{'b3941': 2, 'b0474': 2, 'b2508': 4, 'b1849': 32, 'b3640': 16, 'b0722': 0, 'b1380': 16, 'b4388': 0}",8,0.56236151162482,9.512850865542143
10,"{'b1278': 16, 'b4388': 0, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b3941': 2, 'b1380': 8}",8,1.4992648261400798,8.630491722189062
11,"{'b4388': 0, 'b2508': 32, 'b0722': 0, 'b1849': 32, 'b3640': 16, 'b1131': 4, 'b3941': 2, 'b0474': 2, 'b1380': 8}",9,1.316257043210524,8.797909682995245
12,"{'b2508': 4, 'b1849': 32, 'b3640': 16, 'b4388': 0.125, 'b0722': 0, 'b1278': 8, 'b1380': 8}",7,2.016702084826656,8.052411606321447
13,"{'b4388': 0.5, 'b1849': 4, 'b1131': 2, 'b2508': 0, 'b0722': 0, 'b1278': 8}",6,2.3334093514537093,7.41457680963261
14,"{'b1278': 16, 'b4388': 0, 'b2508': 32, 'b3640': 32, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b0474': 4, 'b1380': 8}",9,1.08896466386845,9.082192381503123
15,"{'b3640': 16, 'b4388': 0.125, 'b1278': 2, 'b0722': 0, 'b1849': 32, 'b1380': 8}",6,2.0598413606295596,7.999605193883552
16,"{'b4388': 0, 'b1131': 2, 'b1849': 16, 'b0722': 0.03125, 'b1380': 8}",5,2.101748750829881,7.8453330025886965
17,"{'b0722': 0.0625, 'b4388': 0.5, 'b1849': 2, 'b1278': 8}",4,2.463238566016212,7.104507185836347
18,"{'b0221': 0.03125, 'b1849': 32, 'b2508': 8, 'b3640': 16, 'b4388': 0.0625, 'b0722': 0, 'b0474': 2, 'b1380': 8}",8,1.9664775872227926,8.139539550461702
19,"{'b0722': 0, 'b0221': 0.03125, 'b3640': 16, 'b1849': 4, 'b1131': 4, 'b3941': 2, 'b1380': 16, 'b4388': 0}",8,0.4532783642197945,9.607069911302112
20,"{'b4388': 0.5, 'b0221': 0.03125, 'b1849': 16, 'b0722': 0, 'b0474': 2, 'b1380': 8}",6,2.2225970999858986,7.5825601921355705
21,"{'b1849': 4, 'b1131': 2, 'b4388': 0.5, 'b0722': 0, 'b0474': 2}",5,2.3091858373309897,7.501245746436782
22,"{'b4388': 0, 'b2508': 32, 'b3640': 32, 'b1131': 8, 'b1849': 16, 'b0722': 0, 'b1380': 8}",7,1.195439438564016,8.987643900826281
